Instance,Proba
/experiments/data/hepar2/fdacs/2.cnf,0.04434920059858947
/experiments/data/hepar2/fdacs/2.fdac,0.04434920059858947
/experiments/data/hepar2/fdacs/1.fdac,0.038626767191065066
/experiments/data/hepar2/fdacs/5.fdac,0.447820195435902
/experiments/data/hepar2/fdacs/9.fdac,0.60944207408494
/experiments/data/hepar2/fdacs/12.fdac,0.41771422636792094
/experiments/data/hepar2/fdacs/10.fdac,0.26466380418426005
/experiments/data/hepar2/fdacs/15.fdac,0.6185967123179651
/experiments/data/hepar2/fdacs/21.fdac,0.2258801430312205
/experiments/data/hepar2/fdacs/23.fdac,0.07169009775358541
/experiments/data/hepar2/fdacs/26.fdac,0.7800584609702775
/experiments/data/hepar2/fdacs/31.fdac,0.42489267353916
/experiments/data/hepar2/fdacs/28.fdac,0.8589044652711342
/experiments/data/hepar2/fdacs/33.fdac,0.11931844550504547
/experiments/data/hepar2/fdacs/38.fdac,0.1364313301919484
/experiments/data/hepar2/fdacs/40.fdac,0.22288841228717２９６
/experiments/data/hepar2/fdacs/44.fdac,0.18911276644600145
/experiments/data/hepar2/fdacs/45.fdac,0.1254219201164861
/experiments/data/hepar2/fdacs/18.fdac,0.5174560340241464
/experiments/data/hepar2/fdacs/16.fdac,0.16582645912074492
/experiments/data/hepar2/fdacs/55.fdac,0.01144492542891
/experiments/data/hepar2/fdacs/56.fdac,0.021459224890663996
/experiments/data/hepar2/fdacs/47.fdac,0.04802970569014348
/experiments/data/hepar2/fdacs/48.fdac,0.16967140115027754
/experiments/data/hepar2/fdacs/49.fdac,0.41670393646192944
/experiments/data/hepar2/fdacs/62.fdac,0.05154287655745702
/experiments/data/hepar2/fdacs/63.fdac,0.19870359956572425
/experiments/data/hepar2/fdacs/65.fdac,0.018265709530653748
/experiments/data/hepar2/fdacs/67.fdac,0.2747552851581329
/experiments/data/hepar2/fdacs/51.fdac,0.015226867967112288
/experiments/data/hepar2/fdacs/52.fdac,0.20028784491597454
/experiments/data/hepar2/fdacs/53.fdac,0.4619403070739808
/experiments/data/hepar2/fdacs/69.fdac,0.2904028924573204
/experiments/data/hepar2/fdacs/75.fdac,0.21332918602281292
/experiments/data/hepar2/fdacs/81.fdac,0.10973496190648294
/experiments/data/hepar2/fdacs/79.fdac,0.7539820469330615
/experiments/data/hepar2/fdacs/82.fdac,0.26781424564120404
/experiments/data/hepar2/fdacs/86.fdac,0.09320519105270812
/experiments/data/hepar2/fdacs/84.fdac,0.13920724138033408
/experiments/data/hepar2/fdacs/88.fdac,0.0021477387782986614
/experiments/data/hepar2/fdacs/92.fdac,0.003394185523050773
/experiments/data/hepar2/fdacs/90.fdac,0.16386470816274326
/experiments/data/hepar2/fdacs/72.fdac,0.8747081720565316
/experiments/data/hepar2/fdacs/36.fdac,0.06710979502471183
/experiments/data/hepar2/fdacs/35.fdac,0.04112843647168224
/experiments/data/hepar2/fdacs/4２.fdac,0.38841２１６９３７４５４６６５
/experiments/data/hepar2/fdacs/95.fdac,0.9359477548536944
/experiments/data/hepar2/fdacs/73.fdac,0.02518184574507061
